ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,unit_id,func,network_direction,address,quantity,values,Time
1593264450.004666,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,2,1,F,1593264450.004666
1593264450.004688,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,3,1,F,1593264450.004688
1593264450.007933,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,3,1,F,1593264450.007933
1593264450.00796,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,4,1,F,1593264450.00796
1593264450.011355,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,4,1,F,1593264450.011355
1593264450.011382,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,5,1,F,1593264450.011382
1593264450.014793,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,5,1,F,1593264450.014793
1593264450.014809,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,6,1,F,1593264450.014809
1593264450.018118,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,6,1,F,1593264450.018118
1593264450.018275,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,7,1,F,1593264450.018275
1593264450.021477,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,7,1,F,1593264450.021477
1593264450.021479,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,8,1,F,1593264450.021479
1593264450.024738,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,8,1,F,1593264450.024738
