"No.","Time","Source","Destination","Protocol","Info"
"1644287","1593265513.412340","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 13894; Unit:   1, Func:   5: Write Single Coil"
"1644291","1593265513.415525","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 13894; Unit:   1, Func:   5: Write Single Coil"
"1644292","1593265513.415592","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 61135; Unit:   1, Func:   5: Write Single Coil"
"1644299","1593265513.418905","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 61135; Unit:   1, Func:   5: Write Single Coil"
"1644300","1593265513.418940","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 63408; Unit:   1, Func:   5: Write Single Coil"
"1644306","1593265513.422273","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 63408; Unit:   1, Func:   5: Write Single Coil"
"1644307","1593265513.422331","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 43332; Unit:   1, Func:   5: Write Single Coil"
"1644311","1593265513.425604","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 43332; Unit:   1, Func:   5: Write Single Coil"
"1644312","1593265513.425654","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 18774; Unit:   1, Func:   5: Write Single Coil"
"1644322","1593265513.428987","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 18774; Unit:   1, Func:   5: Write Single Coil"
"1645138","1593265513.929435","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  4270; Unit:   1, Func:   5: Write Single Coil"
"1645141","1593265513.931272","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  4270; Unit:   1, Func:   5: Write Single Coil"
"1645143","1593265513.931304","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 26279; Unit:   1, Func:   5: Write Single Coil"
"1645149","1593265513.934322","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 26279; Unit:   1, Func:   5: Write Single Coil"
"1645150","1593265513.934369","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 42190; Unit:   1, Func:   5: Write Single Coil"
"1645154","1593265513.937608","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 42190; Unit:   1, Func:   5: Write Single Coil"
"1645155","1593265513.937609","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 16836; Unit:   1, Func:   5: Write Single Coil"
"1645162","1593265513.940897","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 16836; Unit:   1, Func:   5: Write Single Coil"
"1645163","1593265513.940951","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 28368; Unit:   1, Func:   5: Write Single Coil"
"1645171","1593265513.944309","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 28368; Unit:   1, Func:   5: Write Single Coil"
"1645172","1593265513.944345","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 48499; Unit:   1, Func:   5: Write Single Coil"
"1645178","1593265513.947556","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 48499; Unit:   1, Func:   5: Write Single Coil"
"1645179","1593265513.947565","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  1915; Unit:   1, Func:   5: Write Single Coil"
"1645186","1593265513.950849","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  1915; Unit:   1, Func:   5: Write Single Coil"
"1645187","1593265513.950919","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  3365; Unit:   1, Func:   5: Write Single Coil"
"1645193","1593265513.954230","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  3365; Unit:   1, Func:   5: Write Single Coil"
"1645194","1593265513.954309","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 24678; Unit:   1, Func:   5: Write Single Coil"
"1645199","1593265513.957459","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 24678; Unit:   1, Func:   5: Write Single Coil"
"1645200","1593265513.957555","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 29522; Unit:   1, Func:   5: Write Single Coil"
"1645208","1593265513.960722","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 29522; Unit:   1, Func:   5: Write Single Coil"
"1645209","1593265513.960832","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 21033; Unit:   1, Func:   5: Write Single Coil"
"1645216","1593265513.964140","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 21033; Unit:   1, Func:   5: Write Single Coil"
"1645217","1593265513.964230","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 10121; Unit:   1, Func:   5: Write Single Coil"
"1645225","1593265513.967442","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 10121; Unit:   1, Func:   5: Write Single Coil"
"1645226","1593265513.967516","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 20301; Unit:   1, Func:   5: Write Single Coil"
"1645232","1593265513.970739","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 20301; Unit:   1, Func:   5: Write Single Coil"
"1645233","1593265513.970779","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 42941; Unit:   1, Func:   5: Write Single Coil"
"1645238","1593265513.974044","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 42941; Unit:   1, Func:   5: Write Single Coil"
"1645241","1593265513.974122","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 38124; Unit:   1, Func:   5: Write Single Coil"
